% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.132668967e+04 +4.132668967e+04 +4.123360967e+04 +4.123360967e+04 -1.1142e+00 +1.7444e+00 -8.7367e-01
2 +1.520672187e+04 +1.520672187e+04 +1.511364187e+04 +1.511364187e+04 +1.5560e+00 -5.4243e-02 +2.1241e+00
3 +4.602060867e+03 +4.602060867e+03 +4.508980867e+03 +4.508980867e+03 +2.4958e-01 -3.3622e+00 -1.5609e+00
5 +1.663046561e+02 +1.663046561e+02 +7.322465613e+01 +7.322465613e+01 -3.0181e+00 -2.0632e+00 +2.9203e-01
% function evaluation | noise-free fitness - Fopt (4.168000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.640590983e+05 +3.640590983e+05 +3.641007783e+05 +3.641007783e+05 +9.0384e-01 +4.9615e+00 -4.8719e+00
2 +1.121456623e+05 +1.121456623e+05 +1.121873423e+05 +1.121873423e+05 +3.8741e+00 +3.1022e+00 -2.0357e+00
3 +3.067913041e+04 +3.067913041e+04 +3.072081041e+04 +3.072081041e+04 +4.5710e+00 +1.4343e+00 +2.2818e+00
4 +5.748445903e+03 +5.748445903e+03 +5.790125903e+03 +5.790125903e+03 +1.9807e+00 -3.9349e+00 -3.6569e+00
6 +1.102467526e+03 +1.102467526e+03 +1.144147526e+03 +1.144147526e+03 +2.3513e+00 -8.9684e-01 +5.1308e-02
16 +1.747048763e+02 +1.747048763e+02 +2.163848763e+02 +2.163848763e+02 -1.2777e+00 +2.0080e-01 +8.1326e+00
